city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Seattle,Seattle,WA,Washington,53033,King,47.6211,-122.3244,3530752,3414,shape,FALSE,TRUE,America/Los_Angeles,1,98109 98108 98105 98104 98107 98106 98101 98103 98102 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133,1840021117
Spokane,Spokane,WA,Washington,53063,Spokane,47.6671,-117.433,426849,1230,shape,FALSE,TRUE,America/Los_Angeles,2,99201 99203 99202 99205 99204 99207 99208 99258 99224 99223 99001 99212,1840021093
Kennewick,Kennewick,WA,Washington,53005,Benton,46.1978,-119.1732,240876,1162,shape,FALSE,TRUE,America/Los_Angeles,2,99337 99336 99338,1840018481
Bremerton,Bremerton,WA,Washington,53035,Kitsap,47.5436,-122.7121,219538,560,shape,FALSE,TRUE,America/Los_Angeles,2,98312 98314 98310 98337,1840018410
Tacoma,Tacoma,WA,Washington,53053,Pierce,47.2431,-122.4531,215766,1675,shape,FALSE,TRUE,America/Los_Angeles,2,98422 98403 98404 98405 98408 98409 98402 98406 98407 98466 98465 98416 98418 98444 98421,1840021129
Olympia,Olympia,WA,Washington,53067,Thurston,47.0417,-122.8959,200836,1108,shape,FALSE,TRUE,America/Los_Angeles,2,98502 98501 98506,1840019865
Vancouver,Vancouver,WA,Washington,53011,Clark,45.6366,-122.5967,182792,1448,shape,FALSE,TRUE,America/Los_Angeles,2,98684 98664 98665 98660 98661 98662 98663 98682 98683,1840021189
Marysville,Marysville,WA,Washington,53061,Snohomish,48.0809,-122.1561,162700,1295,shape,FALSE,TRUE,America/Los_Angeles,2,98271 98270,1840019789
Bellevue,Bellevue,WA,Washington,53033,King,47.5951,-122.1535,146145,1686,shape,FALSE,TRUE,America/Los_Angeles,2,98004 98005 98006 98007 98008,1840018417
Kent,Kent,WA,Washington,53033,King,47.3887,-122.2128,130038,1487,shape,FALSE,TRUE,America/Los_Angeles,2,98031 98030 98032 98042,1840018424
Bellingham,Bellingham,WA,Washington,53073,Whatcom,48.7548,-122.469,129653,1246,shape,FALSE,TRUE,America/Los_Angeles,2,98225 98226 98229,1840018346
Yakima,Yakima,WA,Washington,53077,Yakima,46.5923,-120.5496,126487,1302,shape,FALSE,TRUE,America/Los_Angeles,2,98901 98903 98902 98908,1840021154
Everett,Everett,WA,Washington,53061,Snohomish,47.9525,-122.1669,110840,1289,shape,FALSE,TRUE,America/Los_Angeles,2,98207 98204 98203 98201 98208,1840019785
Renton,Renton,WA,Washington,53033,King,47.4784,-122.1918,101871,1675,shape,FALSE,TRUE,America/Los_Angeles,2,98059 98058 98057 98056 98055,1840019827
Spokane Valley,Spokane Valley,WA,Washington,53063,Spokane,47.6626,-117.2346,99275,1016,shape,FALSE,TRUE,America/Los_Angeles,3,99206 99016 99212 99216 99037,1840021094
Federal Way,Federal Way,WA,Washington,53033,King,47.3091,-122.3358,96812,1676,shape,FALSE,TRUE,America/Los_Angeles,3,98023 98003,1840019826
Kirkland,Kirkland,WA,Washington,53033,King,47.697,-122.2057,91146,1976,shape,FALSE,TRUE,America/Los_Angeles,3,98039 98033 98034,1840019836
Auburn,Auburn,WA,Washington,53033,King,47.3039,-122.2108,80914,1056,shape,FALSE,TRUE,America/Los_Angeles,3,98001 98002 98092,1840018416
Pasco,Pasco,WA,Washington,53021,Franklin,46.2506,-119.1305,74266,844,shape,FALSE,TRUE,America/Los_Angeles,3,99301,1840019888
Wenatchee,Wenatchee,WA,Washington,53007,Chelan,47.436,-120.3295,71119,1250,shape,FALSE,TRUE,America/Los_Angeles,3,98801,1840021074
Redmond,Redmond,WA,Washington,53033,King,47.6763,-122.1169,67959,1583,shape,FALSE,TRUE,America/Los_Angeles,3,98052,1840019835
Longview,Longview,WA,Washington,53015,Cowlitz,46.1461,-122.963,67958,989,shape,FALSE,TRUE,America/Los_Angeles,3,98632,1840019904
